id,type,floor,status,installed,desc,location/0,location/1,addedBy
A81758FFFE030F61,Elsys ERS CO2,3,installed,2020-06-06T00:00:00.000Z,Hallway between TS345 & TS346 next to green door,65.05789,25.46834,jeremias
A81758FFFE030F59,Elsys ERS CO2,3,installed,2020-06-06T00:00:00.000Z,Corner next to TS3104,65.05745,25.46831,jeremias
A81758FFFE030FB0,Elsys ERS CO2,2,installed,2020-06-06T00:00:00.000Z,Corner next to bathrooms. Above fire extinguisher,65.05786,25.46972,jeremias
A81758FFFE031040,Elsys ERS CO2,2,installed,2020-06-06T00:00:00.000Z,Corner of central lobby,65.05765,25.46884,jeremias
A81758FFFE031043,Elsys ERS CO2,2,installed,2020-06-06T00:00:00.000Z,2nd story glassbridge/hallway,65.05757,25.46833,jeremias
A81758FFFE030FE8,Elsys ERS CO2,5,installed,2020-06-06T00:00:00.000Z,5th floor on top of stairs,65.05797,25.46894,jeremias
A81758FFFE03105F,Elsys ERS CO2,1,installed,2020-06-06T00:00:00.000Z,Next to Aquarium-door,65.05749,25.46956,jeremias
A81758FFFE030FB5,Elsys ERS CO2,1,installed,2020-06-06T00:00:00.000Z,White pillar in Foodoo dining section,65.06071,25.46656,jeremias
A81758FFFE031045,Elsys ERS CO2,1,installed,2020-06-06T00:00:00.000Z,Wall between childrens books and Guides to research-books,65.06126,25.46618,jeremias
A81758FFFE030FEE,Elsys ERS CO2,1,installed,2020-06-06T00:00:00.000Z,End of coursebook shelf Le-Lo,65.06132,25.46708,jeremias
A81758FFFE030FB1,Elsys ERS CO2,2,installed,2020-06-06T00:00:00.000Z,Above self borrow station,65.06128,25.46694,jeremias
A81758FFFE030F4D,Elsys ERS CO2,2,installed,2020-06-06T00:00:00.000Z,Computer room PK247,65.06121,25.46651,jeremias
A81758FFFE030FAC,Elsys ERS CO2,1,installed,2020-06-06T00:00:00.000Z,Psoas lounge lobby,65.05785,25.46718,jeremias
A81758FFFE03101B,Elsys ERS CO2,1,installed,2020-06-06T00:00:00.000Z,Tellus Cube 3,65.05860,25.46616,jeremias
A81758FFFE030F44,Elsys ERS CO2,1,installed,2020-06-06T00:00:00.000Z,Yellow cable channel next to tellus entrance,65.05885,25.46648,jeremias
A81758FFFE04657B,Elsys ERS Sound,1,installed,2020-06-06T00:00:00.000Z,3rd grey pillar from entrance 2T,65.05884,25.46814,jeremias
A81758FFFE046437,Elsys ERS Sound,1,installed,2020-06-06T00:00:00.000Z,Yellow cable channel in front of Foobar,65.05823,25.46691,jeremias
A81758FFFE030FD5,Elsys ERS CO2,1,planned,2020-06-06T00:00:00.000Z,Yellow cable channel in Main Hallway-Kauppakatu crossing,65.05999,25.46668,jeremias
A81758FFFE03105E,Elsys ERS CO2,1,installed,2020-06-06T00:00:00.000Z,PSOAS lounge lobby above soda machine,65.05790,25.46738,jeremias
